SALARY,HOURLY RATE,TITLE,DEPARTMENT
"$52,715.43 ",,MASTER POLICE OFFICER,POLICE
"$65,075.24 ",,FIRE CAPTAIN,FIRE
"$34,518.99 ",,POLICE OFFICER,POLICE
,$10.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$31,996.64 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
"$59,614.46 ",,RESIDUAL DISTRIBUTION COORDINATOR,PUBLIC UTILITIES
"$52,800.05 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$47,299.25 ",,SENIOR FIREFIGHTER,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$32,166.61 ",,POLICE OFFICER,POLICE
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$38,000.08 ",,ADMINISTRATIVE ASSISTANT,INSPECTIONS
,$10.25 ,PROGRAM SPECIALIST VI-G (T),PARK AND RECREATION
"$42,511.87 ",,RCCC PRODUCTION SUPERVISOR,CONVENTION CENTER
"$36,828.14 ",,FIRST CLASS POLICE OFFICER,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$47,636.32 ",,MASTER POLICE OFFICER,POLICE
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$15.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$47,893.33 ",,DEPUTY CITY CLERK,GENERAL GOVERNMENT
,$18.00 ,YOUTH INSTRUCTOR(T),PARK AND RECREATION
"$60,925.74 ",,SENIOR POLICE OFFICER,POLICE
"$67,426.53 ",,SENIOR SYSTEMS ANALYST/PROGRAMMER,INFORMATION TECHNOLOGY
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$23,228.40 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$9.50 ,PROGRAM SPECIALIST V-C,PARK AND RECREATION
"$32,909.97 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$28,707.33 ",,EQUIPMENT OPERATOR I,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$40,878.93 ",,FIRST CLASS FIREFIGHTER,FIRE
"$35,791.39 ",,CREW SUPERVISOR,SOLID WASTE SERVICES
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$39,877.26 ",,FIRST CLASS FIREFIGHTER,FIRE
,$25.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$61,839.74 ",,SENIOR POLICE OFFICER,POLICE
"$47,288.62 ",,MASTER POLICE OFFICER,POLICE
"$54,831.98 ",,PARALEGAL,GENERAL GOVERNMENT
,$12.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$51,829.02 ",,PARK OPERATIONS SUPERVISOR,PARK AND RECREATION
"$54,037.62 ",,POLICE DETECTIVE I,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$40,543.98 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$36,124.65 ",,FIRST CLASS FIREFIGHTER,FIRE
,$7.09 ,SERVICE WORKER,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
"$58,575.09 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$39,422.86 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$32,304.58 ",,FIREFIGHTER,FIRE
"$24,991.20 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$36,836.80 ",,EQUIPMENT OPERATOR II,PUBLIC UTILITIES
"$59,767.32 ",,ACCOUNTANT/AUDITOR II,FINANCE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$23,801.18 ",,SENIOR STAFF SUPPORT SPECIALIST,PUBLIC WORKS
"$46,734.47 ",,SENIOR FIREFIGHTER,FIRE
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$7.50 ,BOX OFFICE TEMP I (T),CONVENTION CENTER
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$54,279.06 ",,ENGINEERING TECHNICIAN,PUBLIC WORKS
"$83,825.21 ",,ACCOUNTING MANAGER,FINANCE
"$82,799.78 ",,PU FISCAL MANAGER,PUBLIC UTILITIES
"$22,616.46 ",,SERVICE WORKER,PUBLIC UTILITIES
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
"$40,668.92 ",,FIRST CLASS POLICE OFFICER,POLICE
"$49,429.56 ",,STAFF ASSISTANT,PUBLIC WORKS
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$33,453.20 ",,POLICE OFFICER,POLICE
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
"$42,778.53 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC UTILITIES
,$15.00 ,STAGE TECHNICIAN IV (T),CONVENTION CENTER
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$6.75 ,ACTIVITY SPECIALIST I,PARK AND RECREATION
"$51,721.02 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$62,057.92 ",,POLICE CORPORALS,POLICE
"$52,843.23 ",,PARK OPERATIONS SUPERVISOR,PARK AND RECREATION
"$40,920.05 ",,WATER METER MECHANIC,PUBLIC UTILITIES
,$8.50 ,TICKET SELLER I(T),CONVENTION CENTER
"$46,741.47 ",,SENIOR FIREFIGHTER,FIRE
"$57,782.62 ",,FIRE LIEUTENANT,FIRE
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
"$69,216.55 ",,FIRE CAPT/INVEST SPEC,FIRE
"$28,680.70 ",,SERVICE WORKER,PARK AND RECREATION
"$30,376.94 ",,METER READING COORDINATOR,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
"$58,575.09 ",,SENIOR PLANT MAINTENANCE MECHANIC,PUBLIC UTILITIES
"$37,484.64 ",,UB CUSTOMER SERVICE SUPERVISOR -,FINANCE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$33,855.28 ",,POLICE OFFICER,POLICE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$58,408.40 ",,SENIOR GIS PROGRAMMER/ANALYST,INFORMATION TECHNOLOGY
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$52,515.24 ",,FIRE LIEUTENANT,FIRE
"$26,240.86 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$35.00 ,OFFICIALS,PARK AND RECREATION
"$33,855.28 ",,POLICE OFFICER,POLICE
"$27,552.93 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$62,157.26 ",,FIRE CAPTAIN,FIRE
"$21,639.90 ",,SERVICE WORKER,PUBLIC WORKS
"$33,855.28 ",,POLICE OFFICER,POLICE
"$32,166.61 ",,POLICE OFFICER,POLICE
"$43,801.26 ",,PARK OPERATIONS SUPERVISOR,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$39,999.97 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
"$43,211.79 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$53,294.84 ",,POLICE DETECTIVE I,POLICE
"$31,545.90 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
"$61,952.54 ",,FIRE CAPTAIN,FIRE
"$37,443.47 ",,FIRST CLASS FIREFIGHTER,FIRE
"$20,800.00 ",,SERVICE WORKER,PUBLIC UTILITIES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$24,255.92 ",,INVENTORY ASSISTANT,POLICE
"$48,511.33 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
"$30,377.15 ",,MAINTENANCE MECHANIC I,PUBLIC WORKS
"$21,588.31 ",,POLICE RECORDS SPECIALIST,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PARK AND RECREATION
"$63,710.34 ",,POLICE SERGEANT,POLICE
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$32,166.61 ",,POLICE OFFICER,POLICE
"$55,988.15 ",,POLICE DETECTIVE I,POLICE
"$51,925.91 ",,POLICE DETECTIVE I,POLICE
"$62,733.44 ",,FIRE CAPTAIN,FIRE
"$38,824.75 ",,FIRST CLASS POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,958.61 ",,COMMUNICATIONS MAINTENANCE SUPERVIS,PUBLIC WORKS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
"$53,732.14 ",,SENIOR FIREFIGHTER,FIRE
"$60,430.45 ",,SURVEY SUPERVISOR,PUBLIC WORKS
"$64,385.90 ",,PUBLIC INFORMATION OFFICER,GENERAL GOVERNMENT
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$15.00 ,OFFICIALS,PARK AND RECREATION
"$33,930.03 ",,FIREFIGHTER/HAZMAT TECH,FIRE
"$49,144.02 ",,SENIOR FIREFIGHTER,FIRE
"$47,359.52 ",,CREW SUPERVISOR,PUBLIC WORKS
"$34,786.75 ",,EQUIPMENT OPERATOR II,PUBLIC WORKS
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$69,916.83 ",,POLICE SERGEANT,POLICE
"$45,014.90 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$32,813.87 ",,MAINTENANCE MECHANIC I,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
"$33,722.42 ",,SERVICE WORKER,PUBLIC WORKS
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
"$31,617.57 ",,TRANSCRIPTIONIST,POLICE
,$20.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
,$38.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$27,999.92 ",,INFORMATION RESPONSE TECHNICIAN,POLICE
,$25.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$35.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.70 ,PLANNING GRAPHICS TECH(T),PLANNING
"$61,503.85 ",,ENGINEERING INSPECTOR SUPERVISOR,PUBLIC WORKS
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$44,313.58 ",,MASTER POLICE OFFICER,POLICE
"$32,166.61 ",,POLICE OFFICER,POLICE
,$12.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
"$26,400.61 ",,INVENTORY ASSISTANT,PUBLIC WORKS
"$53,435.18 ",,ASSESSMENT SPECIALIST,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$30,377.15 ",,TRAFFIC SIGNAL TECHNICIAN,PUBLIC WORKS
"$57,590.31 ",,CODE ENFORCEMENT INSPECTOR (III),INSPECTIONS
,$7.09 ,SERVICE WORKER,PARK AND RECREATION
"$58,575.24 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$32,166.61 ",,POLICE OFFICER,POLICE
,$7.00 ,PROGRAM SPECIALIST III,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$50,000.01 ",,SYSTEMS ANALYST/PROGRAMMER,INFORMATION TECHNOLOGY
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$31,996.64 ",,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$37,847.63 ",,FIRST CLASS POLICE OFFICER,POLICE
"$40,288.77 ",,INVENTORY SUPERVISOR,PUBLIC WORKS
"$53,282.04 ",,TELEPHONE SYSTEMS ANALYST,INFORMATION TECHNOLOGY
"$50,726.46 ",,MASTER POLICE OFFICER,POLICE
"$47,299.25 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,188.99 ",,FIRST CLASS POLICE OFFICER,POLICE
"$28,377.45 ",,CUSTOMER SERVICE REPRESENTATIVE,INSPECTIONS
"$38,759.67 ",,FIRST CLASS POLICE OFFICER,POLICE
,$60.00 ,PHYSICAL MOVEMT INSTRUCTOR(T),PARK AND RECREATION
,$7.75 ,PROGRAM SPEC./AQUATICS (T),PARK AND RECREATION
"$53,142.96 ",,PROCESS CONTROL TRAINING OFFICER,PUBLIC UTILITIES
"$33,453.20 ",,POLICE OFFICER,POLICE
"$31,923.19 ",,FIREFIGHTER,FIRE
"$41,628.29 ",,EQUIPMENT OPERATOR II,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$17.67 ,TELECOMMUNICATOR I,EMERGENCY COMMUNICATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$61,435.92 ",,SENIOR POLICE OFFICER,POLICE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$47,206.61 ",,RECREATION PROGRAM DIRECTOR,PARK AND RECREATION
,$6.15 ,PROGRAM ASSISTANT III(T),PARK AND RECREATION
"$50,599.33 ",,ENVIRONMENTAL MONITORING TECHN,PUBLIC UTILITIES
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$8.50 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$29,592.09 ",,SENIOR STAFF SUPPORT SPECIALIST,POLICE
"$40,481.95 ",,SENIOR ENGINEERING INSPECTOR,PUBLIC UTILITIES
"$35,165.18 ",,REC FACIL & PROGRAM SUPV II,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$26,736.94 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$39,409.13 ",,FIRST CLASS FIREFIGHTER,FIRE
"$101,691.81 ",,DESIGN CONSTRUCTION MANAGER,PUBLIC WORKS
"$38,188.99 ",,FIRST CLASS POLICE OFFICER,POLICE
,$9.75 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$25,474.03 ",,SENIOR STAFF SUPPORT SPECIALIST,EMERGENCY COMMUNICATION
,$25.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$50,610.35 ",,ECC TRAINING & COMPLIANCE COORD,EMERGENCY COMMUNICATION
"$42,806.34 ",,SENIOR FIREFIGHTER,FIRE
,$7.44 ,SERVICE WORKER,PARK AND RECREATION
"$47,999.92 ",,PARALEGAL,GENERAL GOVERNMENT
"$69,794.09 ",,POLICE SERGEANT,POLICE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$51,903.58 ",,FIRE PROTECTION INSPECTOR,FIRE
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$28,726.44 ",,SENIOR UB CUSTOMER SERVICE SPECIALI,FINANCE
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$31,460.00 ",,LEAD SERVICE WORKER,PARK AND RECREATION
"$56,044.15 ",,FIRE LIEUTENANT,FIRE
"$30,185.71 ",,UTILITY BILLING FIELD TECHNICIAN,FINANCE
"$34,254.29 ",,POLICE OFFICER,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,OFFICIALS I(T),PARK AND RECREATION
,$8.00 ,PROGRAM SPECIALIST IV,PARK AND RECREATION
,$7.25 ,ACTIVITY SPECIALIST II,PARK AND RECREATION
"$48,088.62 ",,SENIOR FIREFIGHTER,FIRE
"$38,596.06 ",,SWS EQUIPMENT OPERATOR III,SOLID WASTE SERVICES
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$24,991.20 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$26,848.85 ",,SERVICE WORKER,PARK AND RECREATION
"$52,418.41 ",,RECREATION PROGRAM DIRECTOR,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$38,297.31 ",,FIRST CLASS POLICE OFFICER,POLICE
"$46,508.72 ",,MASTER POLICE OFFICER,POLICE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
"$50,726.46 ",,MASTER POLICE OFFICER,POLICE
"$46,611.79 ",,RECREATION PROGRAM DIRECTOR,PARK AND RECREATION
"$71,294.50 ",,POLICE SERGEANT,POLICE
,$18.00 ,OFFICIALS,PARK AND RECREATION
,$8.00 ,PART TIME MAINTENANCE ASSISTANT (T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$70,933.04 ",,ZONING ENFORCEMENT ADMINISTRATOR,INSPECTIONS
,$10.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
"$34,000.10 ",,GARDENER,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$39,999.97 ",,WEB CONTENT MANAGER,PUBLIC AFFAIRS
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$29,896.46 ",,CALL TAKER I,EMERGENCY COMMUNICATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$16.00 ,OFFICIALS,PARK AND RECREATION
"$78,324.46 ",,DEPUTY EMERGENCY COMMUNICA DIR,EMERGENCY COMMUNICATION
"$22,775.95 ",,STAFF SUPPORT SPECIALIST,INSPECTIONS
"$55,854.05 ",,POLICE DETECTIVE I,POLICE
"$27,567.90 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$95,679.66 ",,EMERGENCY COMMUNICATIONS DIRECTOR,EMERGENCY COMMUNICATION
"$49,663.84 ",,SR. FIREFIGHTER/HAZMAT TECH,FIRE
,$40.00 ,OFFICIALS,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$61,906.40 ",,FIRE CAPTAIN,FIRE
,$25.00 ,PROGRAM COORDINATOR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$24,991.20 ",,WATER METER MECHANIC,PUBLIC UTILITIES
"$59,802.51 ",,POLICE DETECTIVE I,POLICE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.00 ,PROGRAM SPECIALIST VI-F (T),PARK AND RECREATION
,$10.00 ,VISUAL ARTS INSTRUCTOR(T),PARK AND RECREATION
"$20,560.38 ",,SERVICE WORKER,PUBLIC WORKS
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$39,716.91 ",,FIRST CLASS POLICE OFFICER,POLICE
"$24,991.20 ",,UTILITIES TECHNICIAN,PUBLIC UTILITIES
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$25,783.13 ",,STAFF SUPPORT SPECIALIST,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$53,709.36 ",,FIRE CAPTAIN,FIRE
"$41,196.07 ",,REC FACIL & PROGRAM SUPV III,PARK AND RECREATION
,$7.25 ,CUSTODIAL WORKER,CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
"$25,650.56 ",,MAINTENANCE WORKER I,CONVENTION CENTER
,$12.00 ,TRAFFIC TECHNICIAN(T),PUBLIC WORKS
"$34,934.22 ",,HEAVY EQUIPMENT MECHANIC,PUBLIC WORKS
"$26,615.47 ",,MAINTENANCE WORKER II,PARK AND RECREATION
"$46,517.67 ",,MASTER POLICE OFFICER,POLICE
"$98,702.86 ",,WATER TREATMENT SUPERINTENDENT,PUBLIC UTILITIES
"$40,059.01 ",,BUYER I,FINANCE
"$28,380.14 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$36,260.64 ",,MOTOR EQUIPMENT MECHANIC,PUBLIC UTILITIES
,$14.00 ,OFFICIALS,PARK AND RECREATION
"$39,645.84 ",,SENIOR AUTOMOTIVE SERVICES TECH,PUBLIC WORKS
,$20.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$28,030.87 ",,POLICE RECORDS SPECIALIST,POLICE
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$12.00 ,EVENT SECURITY OFFICER II (T),CONVENTION CENTER
"$40,188.22 ",,FIRST CLASS POLICE OFFICER,POLICE
"$45,293.25 ",,SENIOR TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
"$29,553.68 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$41,972.25 ",,PLANNER I,PARK AND RECREATION
"$43,875.18 ",,SENIOR FIREFIGHTER,FIRE
"$59,253.23 ",,SENIOR POLICE OFFICER,POLICE
,$10.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$35,428.64 ",,AUTOMOTIVE SERVICES TECHNICIAN,POLICE
"$49,664.42 ",,SR. FIREFIGHTER/HAZMAT TECH,FIRE
"$65,357.97 ",,WATER/WASTERWATER TREATMENT FAC. MN,PUBLIC UTILITIES
,$36.00 ,OFFICIALS,PARK AND RECREATION
"$42,806.34 ",,SENIOR FIREFIGHTER,FIRE
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
"$34,247.62 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$51,166.93 ",,FIRE LT/HAZMAT TECH,FIRE
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$8.25 ,ACTIVITY SPECIALIST III,PARK AND RECREATION
,$12.70 ,PLANNING GRAPHICS TECH(T),PLANNING
"$47,748.14 ",,MASTER POLICE OFFICER,POLICE
,$32.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,STAGE TECHNICIAN III(T),CONVENTION CENTER
,$33.00 ,OFFICIALS,PARK AND RECREATION
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$7.50 ,EVENT WORKER II(T),CONVENTION CENTER
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$8.50 ,SPECIALIST PROG. INSTRUCTOR,PARK AND RECREATION
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$21,049.60 ",,SERVICE WORKER,SOLID WASTE SERVICES
,$12.00 ,STAGE TECHNICIAN I(T),CONVENTION CENTER
"$33,349.47 ",,FIREFIGHTER,FIRE
,$14.00 ,OFFICIALS,PARK AND RECREATION
,$18.00 ,OFFICIALS,PARK AND RECREATION
"$46,326.06 ",,WEB SERVICES SPECIALIST,INFORMATION TECHNOLOGY
"$32,166.61 ",,POLICE OFFICER,POLICE
"$78,336.35 ",,PROJECT ENGINEER II,PUBLIC WORKS
"$63,385.80 ",,POLICE DETECTIVE I,POLICE
"$52,390.25 ",,FIRE LT/HAZMAT TECH,FIRE
"$26,303.26 ",,EQUIPMENT OPERATOR III,PUBLIC UTILITIES
"$20,560.38 ",,SERVICE WORKER,PARK AND RECREATION
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
,$13.00 ,STAGE TECHNICIAN II(T),CONVENTION CENTER
"$50,142.46 ",,MASTER POLICE OFFICER,POLICE
"$29,120.00 ",,LEAD SERVICE WORKER,PUBLIC UTILITIES
"$33,191.56 ",,POLICE OFFICER,POLICE
"$69,975.15 ",,WATER/WASTERWATER TREATMENT FAC. MN,PUBLIC UTILITIES
"$30,377.15 ",,TREATMENT PLANT OPERATOR,PUBLIC UTILITIES
,$15.00 ,HOBBY INST/SPEC PRGM INSTR(T),PARK AND RECREATION
"$35,960.09 ",,STAFF SUPPORT SPECIALIST,INSPECTIONS
"$29,000.19 ",,GARDENER,PARK AND RECREATION
"$54,077.97 ",,CODE ENFORCEMENT INSPECTOR (II),INSPECTIONS
,$7.25 ,ACTIVITY SPECIALIST II,PARK AND RECREATION
,$15.00 ,PERFORMING ARTS INSTRUCTOR(T),PARK AND RECREATION
"$63,385.58 ",,POLICE DETECTIVE I,POLICE
"$63,385.58 ",,POLICE DETECTIVE I,POLICE
,$10.00 ,PROGRAM SPECIALIST VI-A,PARK AND RECREATION
"$64,579.14 ",,FORESTRY SPECIALIST,INSPECTIONS
"$32,982.35 ",,SERVICE WORKER,SOLID WASTE SERVICES
"$26,303.26 ",,WATER METER MECHANIC,PUBLIC UTILITIES
,$7.50 ,FACILITY COORDINATOR I,PARK AND RECREATION
,$11.00 ,PROGRAM SPECIALIST VI-D (T),PARK AND RECREATION
"$44,972.05 ",,FIRE LIEUTENANT,FIRE
